De;Vers;Km;Minutes
1186 ST QUENTIN SCHUMANN SUPER;1186 ST QUENTIN SCHUMANN SUPER;0;0
1186 ST QUENTIN SCHUMANN SUPER;BEAUVAIS;138;150
1186 ST QUENTIN SCHUMANN SUPER;CAMBRAI;53;60
1186 ST QUENTIN SCHUMANN SUPER;CHRONO COMPIEGNE 4345;76;90
1186 ST QUENTIN SCHUMANN SUPER;DOUAI;69;75
1186 ST QUENTIN SCHUMANN SUPER;DRIVE CAMBRAI;53;60
1186 ST QUENTIN SCHUMANN SUPER;DRIVE DOUAI;69;75
1186 ST QUENTIN SCHUMANN SUPER;DRIVE LEERS;120;120
1186 ST QUENTIN SCHUMANN SUPER;DRIVE RONCQ;123;135
1186 ST QUENTIN SCHUMANN SUPER;DRIVE ST QUENTIN;5;15
1186 ST QUENTIN SCHUMANN SUPER;DURY;82;90
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS BINAT;85;90
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS SAINT SAUVEUR FLEG;91;105
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS SAINT SAUVEUR PF;91;105
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS SUPER POULAINVILLE PGC;86;90
1186 ST QUENTIN SCHUMANN SUPER;ENT CARVIN FL;92;105
1186 ST QUENTIN SCHUMANN SUPER;ENT CARVIN PF;92;105
1186 ST QUENTIN SCHUMANN SUPER;ENT IENA;103;105
1186 ST QUENTIN SCHUMANN SUPER;ENT SAINGHIN1;107;120
1186 ST QUENTIN SCHUMANN SUPER;ENT SOCOPAL DIEPPE;168;180
1186 ST QUENTIN SCHUMANN SUPER;HIRSON;68;75
1186 ST QUENTIN SCHUMANN SUPER;LEERS;120;120
1186 ST QUENTIN SCHUMANN SUPER;MERU;164;165
1186 ST QUENTIN SCHUMANN SUPER;NOGENT SUR OISE;109;120
1186 ST QUENTIN SCHUMANN SUPER;NOYELLES GODAULT;81;90
1186 ST QUENTIN SCHUMANN SUPER;NOYON;50;60
1186 ST QUENTIN SCHUMANN SUPER;RONCQ;123;135
1186 ST QUENTIN SCHUMANN SUPER;SOCOPAL;168;180
1186 ST QUENTIN SCHUMANN SUPER;VILLENEUVE 2;108;120
1186 ST QUENTIN SCHUMANN SUPER;VIRY NOUREUIL;29;30
1267 CALAIS DELAROCHE SUPER;1267 CALAIS DELAROCHE SUPER;0;0
1267 CALAIS DELAROCHE SUPER;4926 BILLY BERCLAU SUPER;106;120
1267 CALAIS DELAROCHE SUPER;AUCHAN CITY TOURCOING;121;135
1267 CALAIS DELAROCHE SUPER;BOULOGNE;39;45
1267 CALAIS DELAROCHE SUPER;CALAIS;5;15
1267 CALAIS DELAROCHE SUPER;CHRONO COMPIEGNE 4345;215;225
1267 CALAIS DELAROCHE SUPER;CHRONO COUDEKERQUE 4242;44;45
1267 CALAIS DELAROCHE SUPER;CHRONO HALLENNES 4167;101;105
1267 CALAIS DELAROCHE SUPER;DRIVE BOULOGNE;37;45
1267 CALAIS DELAROCHE SUPER;DRIVE CALAIS;5;15
1267 CALAIS DELAROCHE SUPER;DRIVE LEERS;126;135
1267 CALAIS DELAROCHE SUPER;DRIVE RONCQ;122;135
1267 CALAIS DELAROCHE SUPER;DRIVE ST OMER;45;45
1267 CALAIS DELAROCHE SUPER;DUNKERQUE;35;45
1267 CALAIS DELAROCHE SUPER;DURY;158;165
1267 CALAIS DELAROCHE SUPER;ENGLOS;101;105
1267 CALAIS DELAROCHE SUPER;ENT AMIENS BINAT;156;165
1267 CALAIS DELAROCHE SUPER;ENT AMIENS SAINT SAUVEUR FLEG;154;165
1267 CALAIS DELAROCHE SUPER;ENT AMIENS SAINT SAUVEUR PF;154;165
1267 CALAIS DELAROCHE SUPER;ENT AMIENS SUPER POULAINVILLE PGC;156;165
1267 CALAIS DELAROCHE SUPER;ENT CARVIN FL;111;120
1267 CALAIS DELAROCHE SUPER;ENT CARVIN PF;111;120
1267 CALAIS DELAROCHE SUPER;ENT IENA;116;120
1267 CALAIS DELAROCHE SUPER;ENT SAINGHIN1;119;120
1267 CALAIS DELAROCHE SUPER;ENT SOCOPAL DIEPPE;184;195
1267 CALAIS DELAROCHE SUPER;LEERS;126;135
1267 CALAIS DELAROCHE SUPER;RONCQ;122;135
1267 CALAIS DELAROCHE SUPER;SOCOPAL;184;195
1267 CALAIS DELAROCHE SUPER;ST OMER;46;60
1297 HARNES SUPER;1297 HARNES SUPER;0;0
1297 HARNES SUPER;4926 BILLY BERCLAU SUPER;11;15
1297 HARNES SUPER;ARRAS;29;30
1297 HARNES SUPER;AUCHAN CITY TOURCOING;40;45
1297 HARNES SUPER;BETHUNE;30;30
1297 HARNES SUPER;CHRONO AVELIN 4361;18;30
1297 HARNES SUPER;CHRONO BONDUES 4703;40;45
1297 HARNES SUPER;CHRONO ELEU DIT LEAUWETTE 4462;10;15
1297 HARNES SUPER;CHRONO HALLENNES 4167;27;30
1297 HARNES SUPER;CHRONO LAMBERSART 4424;34;45
1297 HARNES SUPER;CHRONO WASQUEHAL 4303;35;45
1297 HARNES SUPER;DOUAI;25;30
1297 HARNES SUPER;DRIVE BETHUNE;30;30
1297 HARNES SUPER;DRIVE DOUAI;25;30
1297 HARNES SUPER;DRIVE ENGLOS;31;45
1297 HARNES SUPER;DRIVE LEERS;40;45
1297 HARNES SUPER;DRIVE RONCQ;43;45
1297 HARNES SUPER;DRIVE VALENCIENNES;57;60
1297 HARNES SUPER;DURY;91;105
1297 HARNES SUPER;ENGLOS;31;45
1297 HARNES SUPER;ENT AMIENS BINAT;101;105
1297 HARNES SUPER;ENT AMIENS SAINT SAUVEUR FLEG;106;120
1297 HARNES SUPER;ENT AMIENS SAINT SAUVEUR PF;106;120
1297 HARNES SUPER;ENT AMIENS SUPER POULAINVILLE PGC;90;90
1297 HARNES SUPER;ENT CARVIN FL;8;15
1297 HARNES SUPER;ENT CARVIN PF;8;15
1297 HARNES SUPER;ENT IENA;23;30
1297 HARNES SUPER;ENT SAINGHIN1;27;30
1297 HARNES SUPER;ENT SOCOPAL DIEPPE;205;210
1297 HARNES SUPER;LEERS;40;45
1297 HARNES SUPER;RONCQ;43;45
1297 HARNES SUPER;SOCOPAL;205;210
1297 HARNES SUPER;VALENCIENNES;57;60
1297 HARNES SUPER;VILLENEUVE 2;28;30
4313 CANTELEU SUPER;4313 CANTELEU SUPER;0;0
4313 CANTELEU SUPER;CERGY CHRONODRIVE 469;119;120
4313 CANTELEU SUPER;CHRONO IFS;128;135
4313 CANTELEU SUPER;CORMEILLES EN PARISIS CHRONODRIVE 413;132;135
4313 CANTELEU SUPER;DIEPPE;58;60
4313 CANTELEU SUPER;ENT AMIENS BINAT;131;135
4313 CANTELEU SUPER;ENT AMIENS SAINT SAUVEUR FLEG;128;135
4313 CANTELEU SUPER;ENT AMIENS SAINT SAUVEUR PF;128;135
4313 CANTELEU SUPER;ENT AMIENS SUPER POULAINVILLE PGC;130;135
4313 CANTELEU SUPER;ENT IENA;256;270
4313 CANTELEU SUPER;ENT IENA1;257;270
4313 CANTELEU SUPER;ENT IENA2;257;270
4313 CANTELEU SUPER;ENT SAINGHIN1;260;270
4313 CANTELEU SUPER;FRANQUEVILLE CHRONODRIVE 4475;14;15
4313 CANTELEU SUPER;LE HAVRE;91;105
4313 CANTELEU SUPER;MONTIVILLIERS;84;90
4313 CANTELEU SUPER;VAL DE REUIL SUPER 1209;39;45
4536 LILLE WAZEMMES MY AUCHAN;1267 CALAIS DELAROCHE SUPER;108;120
4536 LILLE WAZEMMES MY AUCHAN;1297 HARNES SUPER;29;30
4536 LILLE WAZEMMES MY AUCHAN;4536 LILLE WAZEMMES MY AUCHAN;0;0
4536 LILLE WAZEMMES MY AUCHAN;4926 BILLY BERCLAU SUPER;28;30
4536 LILLE WAZEMMES MY AUCHAN;914 MARQUETTE LES PARTISANS DU GOUT;8;15
4536 LILLE WAZEMMES MY AUCHAN;AUCHAN CITY TOURCOING;16;30
4536 LILLE WAZEMMES MY AUCHAN;CHRONO BONDUES 4703;11;15
4536 LILLE WAZEMMES MY AUCHAN;CHRONO CROIX 4154;14;15
4536 LILLE WAZEMMES MY AUCHAN;CHRONO ELEU DIT LEAUWETTE 4462;38;45
4536 LILLE WAZEMMES MY AUCHAN;CHRONO HALLENNES 4167;10;15
4536 LILLE WAZEMMES MY AUCHAN;CHRONO LAMBERSART 4424;4;15
4536 LILLE WAZEMMES MY AUCHAN;CHRONO MARCQ 4128;8;15
4536 LILLE WAZEMMES MY AUCHAN;CHRONO WASQUEHAL 4303;11;15
4536 LILLE WAZEMMES MY AUCHAN;DRIVE ENGLOS;10;15
4536 LILLE WAZEMMES MY AUCHAN;DRIVE FACHES;9;15
4536 LILLE WAZEMMES MY AUCHAN;DRIVE NOGENT SUR OISE;178;180
4536 LILLE WAZEMMES MY AUCHAN;DRIVE RONCQ;18;30
4536 LILLE WAZEMMES MY AUCHAN;DRIVE VILLENEUVE D'ASCQ;6;15
4536 LILLE WAZEMMES MY AUCHAN;DURY;117;120
4536 LILLE WAZEMMES MY AUCHAN;ENT AMIENS BINAT;121;135
4536 LILLE WAZEMMES MY AUCHAN;ENT AMIENS SAINT SAUVEUR FLEG;127;135
4536 LILLE WAZEMMES MY AUCHAN;ENT AMIENS SAINT SAUVEUR PF;127;135
4536 LILLE WAZEMMES MY AUCHAN;ENT AMIENS SUPER POULAINVILLE PGC;119;120
4536 LILLE WAZEMMES MY AUCHAN;ENT CARVIN FL;24;30
4536 LILLE WAZEMMES MY AUCHAN;ENT CARVIN PF;24;30
4536 LILLE WAZEMMES MY AUCHAN;ENT IENA;10;15
4536 LILLE WAZEMMES MY AUCHAN;ENT SAINGHIN1;14;15
4536 LILLE WAZEMMES MY AUCHAN;ENT SOCOPAL DIEPPE;225;225
4536 LILLE WAZEMMES MY AUCHAN;MERU;221;225
4536 LILLE WAZEMMES MY AUCHAN;RONCQ;18;30
4536 LILLE WAZEMMES MY AUCHAN;SOCOPAL;225;225
4926 BILLY BERCLAU SUPER;1297 HARNES SUPER;16;30
4926 BILLY BERCLAU SUPER;4536 LILLE WAZEMMES MY AUCHAN;28;30
4926 BILLY BERCLAU SUPER;4926 BILLY BERCLAU SUPER;0;0
4926 BILLY BERCLAU SUPER;914 MARQUETTE LES PARTISANS DU GOUT;33;45
4926 BILLY BERCLAU SUPER;ARRAS;33;45
4926 BILLY BERCLAU SUPER;AUCHAN CITY TOURCOING;43;45
4926 BILLY BERCLAU SUPER;BETHUNE;20;30
4926 BILLY BERCLAU SUPER;BOULOGNE;110;120
4926 BILLY BERCLAU SUPER;CAMBRAI;71;75
4926 BILLY BERCLAU SUPER;CHRONO AVELIN 4361;38;45
4926 BILLY BERCLAU SUPER;CHRONO BONDUES 4703;36;45
4926 BILLY BERCLAU SUPER;CHRONO ELEU DIT LEAUWETTE 4462;14;15
4926 BILLY BERCLAU SUPER;CHRONO HALLENNES 4167;19;30
4926 BILLY BERCLAU SUPER;CHRONO LAMBERSART 4424;28;30
4926 BILLY BERCLAU SUPER;CHRONO MARCQ 4128;35;45
4926 BILLY BERCLAU SUPER;CHRONO VALENCIENNES 4370;70;75
4926 BILLY BERCLAU SUPER;DOUAI;38;45
4926 BILLY BERCLAU SUPER;DRIVE BETHUNE;20;30
4926 BILLY BERCLAU SUPER;DRIVE CAMBRAI;71;75
4926 BILLY BERCLAU SUPER;DRIVE DOUAI;38;45
4926 BILLY BERCLAU SUPER;DRIVE DUNKERQUE;90;90
4926 BILLY BERCLAU SUPER;DRIVE LEERS;46;60
4926 BILLY BERCLAU SUPER;DRIVE NOYELLES;23;30
4926 BILLY BERCLAU SUPER;DRIVE PETITE FORET;73;75
4926 BILLY BERCLAU SUPER;DRIVE RONCQ;44;45
4926 BILLY BERCLAU SUPER;DRIVE VALENCIENNES;70;75
4926 BILLY BERCLAU SUPER;DUNKERQUE;90;90
4926 BILLY BERCLAU SUPER;DURY;131;135
4926 BILLY BERCLAU SUPER;ENGLOS;23;30
4926 BILLY BERCLAU SUPER;ENT AMIENS BINAT;93;105
4926 BILLY BERCLAU SUPER;ENT AMIENS SAINT SAUVEUR FLEG;100;105
4926 BILLY BERCLAU SUPER;ENT AMIENS SAINT SAUVEUR PF;100;105
4926 BILLY BERCLAU SUPER;ENT AMIENS SUPER POULAINVILLE PGC;94;105
4926 BILLY BERCLAU SUPER;ENT CARVIN FL;18;30
4926 BILLY BERCLAU SUPER;ENT CARVIN PF;18;30
4926 BILLY BERCLAU SUPER;ENT IENA;36;45
4926 BILLY BERCLAU SUPER;ENT SAINGHIN1;39;45
4926 BILLY BERCLAU SUPER;FACHES;35;45
4926 BILLY BERCLAU SUPER;LEERS;46;60
4926 BILLY BERCLAU SUPER;LOUVROIL;103;105
4926 BILLY BERCLAU SUPER;NOYELLES GODAULT;23;30
4926 BILLY BERCLAU SUPER;PETITE FORET;73;75
4926 BILLY BERCLAU SUPER;RONCQ;44;45
4926 BILLY BERCLAU SUPER;ST OMER;74;75
4926 BILLY BERCLAU SUPER;VALENCIENNES;70;75
4926 BILLY BERCLAU SUPER;VILLENEUVE 2;36;45
4977 RUE SUPER;1267 CALAIS DELAROCHE SUPER;101;105
4977 RUE SUPER;4977 RUE SUPER;0;0
4977 RUE SUPER;BETHUNE;113;120
4977 RUE SUPER;DIEPPE;77;90
4977 RUE SUPER;DRIVE BETHUNE;113;120
4977 RUE SUPER;ENT AMIENS BINAT;71;75
4977 RUE SUPER;ENT AMIENS SAINT SAUVEUR FLEG;69;75
4977 RUE SUPER;ENT AMIENS SAINT SAUVEUR PF;69;75
4977 RUE SUPER;ENT AMIENS SUPER POULAINVILLE PGC;71;75
4977 RUE SUPER;ENT IENA;162;165
4977 RUE SUPER;ENT SAINGHIN1;165;165
4977 RUE SUPER;MERS LES BAINS;41;45
914 MARQUETTE LES PARTISANS DU GOUT;4536 LILLE WAZEMMES MY AUCHAN;8;15
914 MARQUETTE LES PARTISANS DU GOUT;914 MARQUETTE LES PARTISANS DU GOUT;0;0
914 MARQUETTE LES PARTISANS DU GOUT;ARRAS;60;60
914 MARQUETTE LES PARTISANS DU GOUT;AUCHAN CITY TOURCOING;12;15
914 MARQUETTE LES PARTISANS DU GOUT;BETHUNE;45;45
914 MARQUETTE LES PARTISANS DU GOUT;CHRONO AVELIN 4361;19;30
914 MARQUETTE LES PARTISANS DU GOUT;CHRONO BONDUES 4703;5;15
914 MARQUETTE LES PARTISANS DU GOUT;CHRONO CROIX 4154;8;15
914 MARQUETTE LES PARTISANS DU GOUT;CHRONO HALLENNES 4167;14;15
914 MARQUETTE LES PARTISANS DU GOUT;CHRONO LAMBERSART 4424;8;15
914 MARQUETTE LES PARTISANS DU GOUT;CHRONO MARCQ 4128;4;15
914 MARQUETTE LES PARTISANS DU GOUT;CHRONO WASQUEHAL 4303;8;15
914 MARQUETTE LES PARTISANS DU GOUT;DRIVE BETHUNE;45;45
914 MARQUETTE LES PARTISANS DU GOUT;DRIVE ENGLOS;12;15
914 MARQUETTE LES PARTISANS DU GOUT;DRIVE LEERS;19;30
914 MARQUETTE LES PARTISANS DU GOUT;DRIVE RONCQ;12;15
914 MARQUETTE LES PARTISANS DU GOUT;DUNKERQUE;80;90
914 MARQUETTE LES PARTISANS DU GOUT;ENGLOS;12;15
914 MARQUETTE LES PARTISANS DU GOUT;ENT AMIENS BINAT;123;135
914 MARQUETTE LES PARTISANS DU GOUT;ENT AMIENS SUPER POULAINVILLE PGC;126;135
914 MARQUETTE LES PARTISANS DU GOUT;ENT CARVIN FL;29;30
914 MARQUETTE LES PARTISANS DU GOUT;ENT CARVIN PF;29;30
914 MARQUETTE LES PARTISANS DU GOUT;ENT IENA;15;15
914 MARQUETTE LES PARTISANS DU GOUT;ENT IENA1;15;15
914 MARQUETTE LES PARTISANS DU GOUT;ENT IENA2;15;15
914 MARQUETTE LES PARTISANS DU GOUT;ENT SAINGHIN1;18;30
914 MARQUETTE LES PARTISANS DU GOUT;ENT SOCOPAL DIEPPE;230;240
914 MARQUETTE LES PARTISANS DU GOUT;FACHES;14;15
914 MARQUETTE LES PARTISANS DU GOUT;LEERS;19;30
914 MARQUETTE LES PARTISANS DU GOUT;RONCQ;12;15
914 MARQUETTE LES PARTISANS DU GOUT;SOCOPAL;230;240
914 MARQUETTE LES PARTISANS DU GOUT;VILLENEUVE 2;14;15
914 MARQUETTE LES PARTISANS DU GOUT;VIRY NOUREUIL;140;150
ARRAS;1267 CALAIS DELAROCHE SUPER;111;120
ARRAS;1297 HARNES SUPER;31;45
ARRAS;4536 LILLE WAZEMMES MY AUCHAN;56;60
ARRAS;4926 BILLY BERCLAU SUPER;33;45
ARRAS;ARRAS;0;0
ARRAS;AUCHAN CITY TOURCOING;67;75
ARRAS;BEAUVAIS;132;135
ARRAS;BETHUNE;36;45
ARRAS;BOULOGNE;113;120
ARRAS;CALAIS;116;120
ARRAS;CAMBRAI;53;60
ARRAS;CHERBOURG;428;435
ARRAS;CHRONO AVELIN 4361;45;45
ARRAS;CHRONO BONDUES 4703;66;75
ARRAS;CHRONO COMPIEGNE 4345;118;120
ARRAS;CHRONO COUDEKERQUE 4242;111;120
ARRAS;CHRONO CROIX 4154;63;75
ARRAS;CHRONO ELEU DIT LEAUWETTE 4462;20;30
ARRAS;CHRONO HALLENNES 4167;49;60
ARRAS;CHRONO LAMBERSART 4424;58;60
ARRAS;CHRONO MARCQ 4128;62;75
ARRAS;CHRONO VALENCIENNES 4370;76;90
ARRAS;CHRONO WASQUEHAL 4303;62;75
ARRAS;DIEPPE;154;165
ARRAS;DOUAI;31;45
ARRAS;DRIVE ARRAS;1;15
ARRAS;DRIVE BETHUNE;36;45
ARRAS;DRIVE BOULOGNE;123;135
ARRAS;DRIVE CAMBRAI;53;60
ARRAS;DRIVE CHERBOURG;428;435
ARRAS;DRIVE DOUAI;31;45
ARRAS;DRIVE DUNKERQUE;118;120
ARRAS;DRIVE DURY;71;75
ARRAS;DRIVE ENGLOS;53;60
ARRAS;DRIVE LEERS;67;75
ARRAS;DRIVE LOUVROIL;109;120
ARRAS;DRIVE NOYELLES;27;30
ARRAS;DRIVE NOYON;103;105
ARRAS;DRIVE PETITE FORET;74;75
ARRAS;DRIVE RONCQ;68;75
ARRAS;DRIVE ST QUENTIN;82;90
ARRAS;DRIVE VALENCIENNES;76;90
ARRAS;DRIVE VILLENEUVE D'ASCQ;55;60
ARRAS;DUNKERQUE;119;120
ARRAS;DURY;71;75
ARRAS;ENGLOS;52;60
ARRAS;ENT AMIENS BINAT;64;75
ARRAS;ENT AMIENS SAINT SAUVEUR FLEG;70;75
ARRAS;ENT AMIENS SAINT SAUVEUR PF;70;75
ARRAS;ENT AMIENS SUPER POULAINVILLE PGC;61;75
ARRAS;ENT CARVIN FL;35;45
ARRAS;ENT CARVIN PF;35;45
ARRAS;ENT SOCOPAL DIEPPE;161;165
ARRAS;FACHES;49;60
ARRAS;HIRSON;113;120
ARRAS;LE HAVRE;256;270
ARRAS;LEERS;67;75
ARRAS;LONGUEIL SAINTE MARIE SUPER 4315;118;120
ARRAS;LOUVROIL;109;120
ARRAS;MERS LES BAINS;111;120
ARRAS;NOYELLES GODAULT;28;30
ARRAS;NOYON;103;105
ARRAS;PETITE FORET;74;75
ARRAS;RONCQ;68;75
ARRAS;SOCOPAL;161;165
ARRAS;ST OMER;75;75
ARRAS;ST QUENTIN;76;90
ARRAS;VALENCIENNES;76;90
ARRAS;VILLENEUVE 2;55;60
ARRAS;VIRY NOUREUIL;103;105
AUCHAN CITY TOURCOING;1267 CALAIS DELAROCHE SUPER;120;120
AUCHAN CITY TOURCOING;1297 HARNES SUPER;40;45
AUCHAN CITY TOURCOING;4536 LILLE WAZEMMES MY AUCHAN;16;30
AUCHAN CITY TOURCOING;914 MARQUETTE LES PARTISANS DU GOUT;12;15
AUCHAN CITY TOURCOING;ARRAS;69;75
AUCHAN CITY TOURCOING;AUCHAN CITY TOURCOING;0;0
AUCHAN CITY TOURCOING;BETHUNE;56;60
AUCHAN CITY TOURCOING;BOULOGNE;126;135
AUCHAN CITY TOURCOING;CHRONO AVELIN 4361;26;30
AUCHAN CITY TOURCOING;CHRONO BONDUES 4703;7;15
AUCHAN CITY TOURCOING;CHRONO COUDEKERQUE 4242;80;90
AUCHAN CITY TOURCOING;CHRONO CROIX 4154;6;15
AUCHAN CITY TOURCOING;CHRONO ELEU DIT LEAUWETTE 4462;51;60
AUCHAN CITY TOURCOING;CHRONO HALLENNES 4167;23;30
AUCHAN CITY TOURCOING;CHRONO LAMBERSART 4424;17;30
AUCHAN CITY TOURCOING;CHRONO MARCQ 4128;8;15
AUCHAN CITY TOURCOING;CHRONO VALENCIENNES 4370;62;75
AUCHAN CITY TOURCOING;CHRONO WASQUEHAL 4303;8;15
AUCHAN CITY TOURCOING;DOUAI;56;60
AUCHAN CITY TOURCOING;DRIVE ARRAS;70;75
AUCHAN CITY TOURCOING;DRIVE BETHUNE;56;60
AUCHAN CITY TOURCOING;DRIVE DOUAI;56;60
AUCHAN CITY TOURCOING;DRIVE DUNKERQUE;89;90
AUCHAN CITY TOURCOING;DRIVE ENGLOS;22;30
AUCHAN CITY TOURCOING;DRIVE FACHES;22;30
AUCHAN CITY TOURCOING;DRIVE LEERS;9;15
AUCHAN CITY TOURCOING;DRIVE LOUVROIL;96;105
AUCHAN CITY TOURCOING;DRIVE MONTIVILLIERS;325;330
AUCHAN CITY TOURCOING;DRIVE NOYELLES;43;45
AUCHAN CITY TOURCOING;DRIVE PETITE FORET;56;60
AUCHAN CITY TOURCOING;DRIVE RONCQ;4;15
AUCHAN CITY TOURCOING;DRIVE VALENCIENNES;63;75
AUCHAN CITY TOURCOING;DRIVE VILLENEUVE D'ASCQ;17;30
AUCHAN CITY TOURCOING;DUNKERQUE;89;90
AUCHAN CITY TOURCOING;DURY;135;135
AUCHAN CITY TOURCOING;ENGLOS;22;30
AUCHAN CITY TOURCOING;ENT AMIENS BINAT;131;135
AUCHAN CITY TOURCOING;ENT AMIENS SAINT SAUVEUR FLEG;138;150
AUCHAN CITY TOURCOING;ENT AMIENS SAINT SAUVEUR PF;138;150
AUCHAN CITY TOURCOING;ENT AMIENS SUPER POULAINVILLE PGC;133;135
AUCHAN CITY TOURCOING;ENT CARVIN FL;35;45
AUCHAN CITY TOURCOING;ENT CARVIN PF;35;45
AUCHAN CITY TOURCOING;ENT IENA;23;30
AUCHAN CITY TOURCOING;ENT IENA1;20;30
AUCHAN CITY TOURCOING;ENT IENA2;20;30
AUCHAN CITY TOURCOING;ENT SAINGHIN1;22;30
AUCHAN CITY TOURCOING;FACHES;22;30
AUCHAN CITY TOURCOING;HIRSON;147;150
AUCHAN CITY TOURCOING;LE HAVRE;331;345
AUCHAN CITY TOURCOING;LEERS;9;15
AUCHAN CITY TOURCOING;LOUVROIL;96;105
AUCHAN CITY TOURCOING;MONTIVILLIERS;324;330
AUCHAN CITY TOURCOING;NOYELLES GODAULT;44;45
AUCHAN CITY TOURCOING;NOYON;152;165
AUCHAN CITY TOURCOING;PETITE FORET;56;60
AUCHAN CITY TOURCOING;RONCQ;4;15
AUCHAN CITY TOURCOING;ST OMER;79;90
AUCHAN CITY TOURCOING;VALENCIENNES;63;75
AUCHAN CITY TOURCOING;VILLENEUVE 2;16;30
AUCHAN CITY TOURCOING;VIRY NOUREUIL;146;150
AUCHAN LUXEMBOURG SUPPLY;AUCHAN LUXEMBOURG SUPPLY;0;0
AUCHAN LUXEMBOURG SUPPLY;DIFFERDANGE;21;30
AUCHAN LUXEMBOURG SUPPLY;ENT IENA;319;330
AUCHAN LUXEMBOURG SUPPLY;KIRCHBERG;18;30
AUCHAN LUXEMBOURG SUPPLY;LA CLOCHE D'OR;26;30
AUCHAN LUXEMBOURG SUPPLY;MONT SAINT MARTIN;29;30
AUCHAN LUXEMBOURG SUPPLY;SEMECOURT;42;45
AUCHAN LUXEMBOURG SUPPLY;TOMBLAINE;107;120
BEAUVAIS;1186 ST QUENTIN SCHUMANN SUPER;138;150
BEAUVAIS;AUCHAN CITY TOURCOING;206;210
BEAUVAIS;BEAUVAIS;0;0
BEAUVAIS;CAMBRAI;155;165
BEAUVAIS;CERGY;53;60
BEAUVAIS;CERGY CHRONODRIVE 469;56;60
BEAUVAIS;CHRONO COMPIEGNE 4345;60;60
BEAUVAIS;CORMEILLES EN PARISIS CHRONODRIVE 413;71;75
BEAUVAIS;DIEPPE;111;120
BEAUVAIS;DOUAI;171;180
BEAUVAIS;DRIVE BEAUVAIS;0;0
BEAUVAIS;DRIVE BOULOGNE;182;195
BEAUVAIS;DRIVE CALAIS;213;225
BEAUVAIS;DRIVE CAMBRAI;155;165
BEAUVAIS;DRIVE CERGY;61;75
BEAUVAIS;DRIVE DOUAI;171;180
BEAUVAIS;DRIVE DURY;57;60
BEAUVAIS;DRIVE LEERS;206;210
BEAUVAIS;DRIVE MONTIVILLIERS;175;180
BEAUVAIS;DRIVE NOGENT SUR OISE;41;45
BEAUVAIS;DRIVE NOYELLES;167;180
BEAUVAIS;DRIVE OSNY;49;60
BEAUVAIS;DRIVE ROISSY;71;75
BEAUVAIS;DRIVE TAVERNY;58;60
BEAUVAIS;DURY;57;60
BEAUVAIS;ENGLOS;203;210
BEAUVAIS;ENT AMIENS SAINT SAUVEUR FLEG;69;75
BEAUVAIS;ENT AMIENS SAINT SAUVEUR PF;69;75
BEAUVAIS;ENT AMIENS SUPER POULAINVILLE PGC;71;75
BEAUVAIS;ENT CARVIN FL;179;180
BEAUVAIS;ENT CARVIN PF;179;180
BEAUVAIS;ENT IENA;190;195
BEAUVAIS;ENT SAINGHIN1;193;195
BEAUVAIS;ENT SERRIS 1;106;120
BEAUVAIS;ENT V DHL;113;120
BEAUVAIS;ENT V GEODIS;113;120
BEAUVAIS;FACHES;188;195
BEAUVAIS;FRANQUEVILLE CHRONODRIVE 4475;90;90
BEAUVAIS;HERBLAY CHRONODRIVE 444;58;60
BEAUVAIS;LE HAVRE;182;195
BEAUVAIS;LEERS;206;210
BEAUVAIS;LONGUEIL SAINTE MARIE SUPER 4315;54;60
BEAUVAIS;MAUREPAS SUPER 4492;106;120
BEAUVAIS;MERU;30;30
BEAUVAIS;NOGENT SUR OISE;43;45
BEAUVAIS;NOYELLES GODAULT;168;180
BEAUVAIS;NOYON;80;90
BEAUVAIS;OSNY;49;60
BEAUVAIS;ROISSY;70;75
BEAUVAIS;SOISY;63;75
BEAUVAIS;ST QUENTIN;134;135
BEAUVAIS;TAVERNY;58;60
BEAUVAIS;VILLENEUVE 2;194;195
BEAUVAIS;VIRY NOUREUIL;103;105
BETHUNE;1267 CALAIS DELAROCHE SUPER;78;90
BETHUNE;1297 HARNES SUPER;32;45
BETHUNE;4536 LILLE WAZEMMES MY AUCHAN;43;45
BETHUNE;4926 BILLY BERCLAU SUPER;20;30
BETHUNE;4977 RUE SUPER;110;120
BETHUNE;914 MARQUETTE LES PARTISANS DU GOUT;45;45
BETHUNE;ARRAS;37;45
BETHUNE;AUCHAN CITY TOURCOING;56;60
BETHUNE;BEAUVAIS;187;195
BETHUNE;BETHUNE;0;0
BETHUNE;BOULOGNE;82;90
BETHUNE;CALAIS;86;90
BETHUNE;CAMBRAI;70;75
BETHUNE;CHRONO AVELIN 4361;41;45
BETHUNE;CHRONO BONDUES 4703;51;60
BETHUNE;CHRONO COUDEKERQUE 4242;67;75
BETHUNE;CHRONO CROIX 4154;54;60
BETHUNE;CHRONO ELEU DIT LEAUWETTE 4462;23;30
BETHUNE;CHRONO HALLENNES 4167;32;45
BETHUNE;CHRONO LAMBERSART 4424;43;45
BETHUNE;CHRONO MARCQ 4128;50;60
BETHUNE;CHRONO VALENCIENNES 4370;82;90
